Term,Start Date,End Date
2014-2015 Term 1,01/09/2014,24/10/2014
2014-2015 Term 2,03/11/2014,19/12/2014
2014-2015 Term 3,05/01/2015,13/02/2015
2014-2015 Term 4,23/02/2015,27/03/2015
2014-2015 Term 5,13/04/2015,22/05/2015
2014-2015 Term 6,01/06/2015,20/07/2015
2015-2016 Term 1,01/09/2015,23/10/2015
2015-2016 Term 2,02/11/2015,18/12/2015
2015-2016 Term 3,04/01/2016,12/02/2016
2015-2016 Term 4,22/02/2016,24/03/2016
2015-2016 Term 5,11/04/2016,27/05/2016
2015-2016 Term 6,06/06/2016,20/07/2016
2016-2017 Term 1,01/09/2016,21/10/2016
2016-2017 Term 2,31/10/2016,16/12/2016
2016-2017 Term 3,03/01/2017,10/02/2017
2016-2017 Term 4,20/02/2017,31/03/2017
2016-2017 Term 5,18/04/2017,26/05/2017
2016-2017 Term 6,05/06/2017,24/07/2017
2017-2018 Term 1,04/09/2017,20/10/2017
2017-2018 Term 2,30/10/2017,21/12/2017
2017-2018 Term 3,08/01/2018,09/02/2018
2017-2018 Term 4,19/02/2018,23/03/2018
2017-2018 Term 5,09/04/2018,25/05/2018
2017-2018 Term 6,04/06/2018,24/07/2018
2018-2019 Term 1,03/09/2018,26/10/2018
2018-2019 Term 2,05/11/2018,21/12/2018
2018-2019 Term 3,07/01/2019,15/02/2019
2018-2019 Term 4,25/02/2019,05/04/2019
2018-2019 Term 5,23/04/2019,24/05/2019
2018-2019 Term 6,03/06/2019,23/07/2019
2019-2020 Term 1,02/09/2019,25/10/2019
2019-2020 Term 2,04/11/2019,20/12/2019
2019-2020 Term 3,06/01/2020,14/02/2020
2019-2020 Term 4,24/02/2020,03/04/2020
2019-2020 Term 5,20/04/2020,22/05/2020
2019-2020 Term 6,01/06/2020,20/07/2020
