Area,x,y,GSPs,GSPGroup
Frome,51.2308,-2.3201,MELK_1,_H
Sheffield,53.3811,-1.4701,SHEC_3,_M
Oxfordshire,51.67,-1.285,COWL_1|ECLA_H,_H
Bath,51.3751,-2.36172,MELK_1,_L
Highlands,57.565289,-4.432566,BEAU_P|ORRI_P,_P
Portsmouth,50.819767,-1.087977,LOVE_1,_H
East Sussex,50.882553,0.104356,NINF_1,_J
Pembrokeshire,51.808615,-4.976258,PEMB_1,_K
Durham,54.772793,-1.576673,SPEN_1,_F
Swansea,51.637901,-3.941238,SWAN_1,_K
Kidderminster,52.40763,-2.2422,BISW_1,_E
Manchester,53.480759,-2.242631,WHGA_1,_G
Liverpool,53.408371,-2.991573,LISD_1,_D
London,51.42246,-0.21085,WIMBN1|WIMBS1,_C
Shrewsbury,52.707302,-2.755327,SHRW_1,_E
Nottingham,52.954784,-1.158109,RATS_1,_B
Cardiff,51.492561,-3.21456,ABTH_1,_K
Newport,51.587742,-2.99834,ALST_3|USKM_1,_K
Leicester,52.636879,-1.139759,ENDE_1,_B
Harwich,51.937641,1.28162,BRFO_1|CLT03,_A
Stourbridge,52.455471,-2.14317,PENN_1,_E
Cornwall,50.266,-5.0527,INDQ1,_L
Norwich,52.630886,1.297355,NORM_1|SALL1,_A
Wiltshire,51.3172,-2.2106,MELK_1,_H
Brighton and Hove,50.827778,-0.152778,BOLN_1,_J
Moray,57.6498,-3.3168,ELGI_P,_P
Edinburgh,55.953251,-3.188267,DEWP,_N
Bristol,51.45042,-2.5961,IROA1,_L
Rotherham,53.43223,-1.36048,THOM_6,_M
Reading,51.45287,-0.97102,BRLE_1|FLEE_1,_H
St Albans,51.7515,-0.33793,ELST_1,_A
Perth,56.3954,-3.4284,BRAC_P,_P
Telford,52.68088,-2.43811,IRONB1,_E
Maidenhead,51.51955,-0.72138,IVER_1|IVER_6,_H
Windsor,51.48361,-0.61383,IVER_1|IVER_6,_H
Ealing,51.51091,-0.30712,EALI_6,_H
Birmingham,52.47477,-1.89853,NECE_1,_E
Southampton,50.9105,-1.4049,NURS_1,_H
Scunthorpe,53.5886,-0.6544,KEAD_1,_M
Isle of Sheppey,51.3965,0.8365,KEMS_1,_J
Bradford,53.7938,-1.7564,BRAW_1,_M
Worcester,52.1936,-2.2216,BISW_1,_E
Rochester,51.388,0.5067,KINO_1,_J
